location,year,category,rank,query
Egypt,2012,Fashion Labels,1,Ted Baker
Egypt,2012,Fashion Labels,2,Stella McCartney
Egypt,2012,Fashion Labels,3,Balmain
Egypt,2012,Fashion Labels,4,Jean Paul Gaultier
Egypt,2012,Fashion Labels,5,Michael Kors
Malaysia,2012,Fashion Labels,1,Coach
Malaysia,2012,Fashion Labels,2,Louis Vuitton
Malaysia,2012,Fashion Labels,3,Gucci
Malaysia,2012,Fashion Labels,4,Burberry
Malaysia,2012,Fashion Labels,5,Longchamp
Saudi Arabia,2012,Fashion Labels,1,Vero Moda
Saudi Arabia,2012,Fashion Labels,2,Isabel Marant
Saudi Arabia,2012,Fashion Labels,3,Alexander Wang
Saudi Arabia,2012,Fashion Labels,4,Jean Paul Gaultier
Saudi Arabia,2012,Fashion Labels,5,Ted Baker
United Arab Emirates,2012,Fashion Labels,1,Isabel Marant
United Arab Emirates,2012,Fashion Labels,2,Michael Kors
United Arab Emirates,2012,Fashion Labels,3,Bershka
United Arab Emirates,2012,Fashion Labels,4,Ice Watch
United Arab Emirates,2012,Fashion Labels,5,Nike
United Kingdom,2012,Fashion Labels,1,Stella McCartney
United Kingdom,2012,Fashion Labels,2,Karl Lagerfeld
United Kingdom,2012,Fashion Labels,3,Victoria's Secret
United Kingdom,2012,Fashion Labels,4,Alice Temperley
United Kingdom,2012,Fashion Labels,5,Versace
United States,2014,Fashion Designers,1,Bethany Mota
United States,2014,Fashion Designers,2,Kate Spade
United States,2014,Fashion Designers,3,Oscar de la Renta
United States,2014,Fashion Designers,4,Rachel Roy
United States,2014,Fashion Designers,5,L'Wren Scott
United States,2015,Fashion Designers,1,Raf Simons
United States,2015,Fashion Designers,2,Shoshanna Lonstein Gruss
United States,2015,Fashion Designers,3,Giambattista Valli
United States,2015,Fashion Designers,4,Thakoon Panichgul
United States,2015,Fashion Designers,5,Tadashi Shoji
United States,2015,Fashion Questions,1,How to walk in heels?
United States,2015,Fashion Questions,2,What to wear on the first day of school?
United States,2015,Fashion Questions,3,How to fray jeans?
United States,2015,Fashion Questions,4,How to tie a shirt?
United States,2015,Fashion Questions,5,What should a bride wear to the rehearsal dinner?
United Kingdom,2016,Fashion questions,1,How to get ink out of clothes
United Kingdom,2016,Fashion questions,2,How to tie a windsor knot
United Kingdom,2016,Fashion questions,3,How to iron silk
United Kingdom,2016,Fashion questions,4,How to use a needle threader
United Kingdom,2016,Fashion questions,5,How to shrink clothes
United States,2016,Fashion Designers,1,Rachel Roy
United States,2016,Fashion Designers,2,Mary Kate and Ashley Olsen
United States,2016,Fashion Designers,3,Angela Simmons
United States,2016,Fashion Designers,4,Zendaya
United States,2016,Fashion Designers,5,Kendall and Kylie
United States,2018,Fashion Brands,1,Fashion Nova
United States,2018,Fashion Brands,2,Louis Vuitton
United States,2018,Fashion Brands,3,Versace
United States,2018,Fashion Brands,4,Givenchy
United States,2018,Fashion Brands,5,Gucci
United States,2018,Fashion Searches,1,1980s fashion
United States,2018,Fashion Searches,2,Grunge style
United States,2018,Fashion Searches,3,1990s fashion
United States,2018,Fashion Searches,4,2000s fashion
United States,2018,Fashion Searches,5,Meghan Markle
United States,2019,Fashion Style searches,1,Camp style
United States,2019,Fashion Style searches,2,Egirl style
United States,2019,Fashion Style searches,3,Eboy style
United States,2019,Fashion Style searches,4,Steampunk style
United States,2019,Fashion Style searches,5,Harajuku style